"","lote_id","finca_id","lat","lng","area","pbc","sem","c_year","mean_pbc"
"148",328,38,7.827839565,-76.672077325,3.38,2047.3,"26","2017",4655.12084860558
"149",330,38,7.82602948,-76.672395155,4,4588.4,"26","2017",4571.8568968254
"150",335,38,7.821518075,-76.672540705,4.59,5461.4,"26","2017",5606.76084375
"151",337,38,7.81976942,-76.67251567,4.42,676.6,"26","2017",4788.09768253968
"152",354,38,7.826973215,-76.66829229,4.57,1928.6,"26","2017",5470.97349193548
"153",358,38,7.816021155,-76.67654622,5.07,2898.3,"26","2017",5065.14773303167
"154",359,38,7.815087325,-76.677212225,1.6,1152.1,"26","2017",1668.2893640553
"155",361,38,7.814416995,-76.676033105,5.69,7878,"26","2017",4953.99895703125
"156",370,38,7.815921145,-76.68100793,3.4,1584.3,"26","2017",3484.85921428571
"157",371,38,7.81671035,-76.6824241,2.49,2652.4,"26","2017",2389.19924882629
"158",372,38,7.817701065,-76.68092031,4.29,4281.8,"26","2017",4137.29828699552
"159",375,38,7.81865357,-76.683843675,1.54,1010.3,"26","2017",1425.34311111111
"160",376,38,7.81747825,-76.684906715,5.8,5118.6,"26","2017",4855.73584955752
"161",327,38,7.828819285,-76.672117905,2.33,2213.2,"27","2017",3614.34884146341
"162",69,27,7.76976027,-76.7647358,7.785,29.5,"30","2017",7207.95867021277
"163",93,28,7.781585115,-76.77242644,4.17,3228.5,"30","2017",4144.55269958848
"164",95,28,7.781008925,-76.774523915,7.64,6514,"30","2017",3607.67886486486
"165",96,28,7.781329825,-76.775561465,7.71,6452,"30","2017",7032.17441935484
"166",97,28,7.781638685,-76.77656726,7.2,3803,"30","2017",6741.633208
"167",98,28,7.78185287,-76.777557785,7.32,12055.5,"30","2017",6449.756884
"168",99,28,7.78216859,-76.77852126,6.57,7177.5,"30","2017",7052.62500803213
"169",100,28,7.782728975,-76.77948625,4.89,4610,"30","2017",4628.00313360324
"170",101,28,7.7818044,-76.78072396,2.13,2143.5,"30","2017",1929.2640212766
"171",102,28,7.776402115,-76.782395665,9.33,827,"30","2017",10742.4581208333
"172",103,28,7.775690105,-76.781601165,8.71,9766,"30","2017",10295.1287968127
"173",104,28,7.77512579,-76.78078383,8.28,14170,"30","2017",9722.75286122449
"174",105,28,7.774819185,-76.779893495,7.2,7743.5,"30","2017",8251.27948178138
"175",106,28,7.77461996,-76.77883523,6.9,10120.5,"30","2017",8122.93932258065
"176",107,28,7.774583795,-76.777703685,6.07,5817,"30","2017",7990.57996787149
"177",108,28,7.77411205,-76.776652875,5.21,5416.5,"30","2017",5223.26504489796
"178",109,28,7.773790645,-76.775683235,5.32,3068,"30","2017",4809.24415510204
"179",318,38,7.82225474,-76.678542035,9.33,242.5,"31","2017",7998.00631854839
"180",447,42,7.78477004,-76.6718023,2.36,1062,"39","2017",2546.44753688525
"181",448,42,7.78413224,-76.6710936,2.5,1305,"39","2017",2615.87209053498
"182",449,42,7.78332436,-76.6706222,3,922.5,"39","2017",3023.23521585903
"183",451,42,7.78166608,-76.6699141,4.5,1772.5,"39","2017",4340.04268571429
"184",452,42,7.77988023,-76.6724246,1.14,832,"39","2017",1100.09647033898
"185",453,42,7.78086882,-76.6727041,1.86,236,"39","2017",2361.18377272727
"186",455,42,7.78030543,-76.6749781,2,495,"39","2017",2572.83085774059
"187",456,42,7.78172986,-76.6764157,1.94,1131,"39","2017",2444.85476131687
"188",445,42,7.78613067,-76.6730677,1.5,4556,"40","2017",1958.8357107438
"189",446,42,7.78553539,-76.6722952,2,4767,"40","2017",2227.55860580913
"190",450,42,7.78247396,-76.669957,3.6,3197,"40","2017",3635.33859895833
"191",454,42,7.7819212,-76.6725108,1.61,1357,"40","2017",1300.44112019231
"192",260,36,7.804871715,-76.793988695,9.86,8192.5,"48","2017",14032.6327391304
"193",277,36,7.805363,-76.811350295,6.92,7393,"48","2017",11527.0242447257
"194",457,50,7.80304526,-76.791592645,9.17,2991.5,"48","2017",12412.6323924051
"195",459,50,7.80476787,-76.79036762,6.96,5427.5,"48","2017",7566.73879059829
"196",460,50,7.80542562,-76.78939345,9.52,3901.5,"48","2017",8607.83570588235
"197",461,50,7.79774035,-76.78973618,11.36,5995,"48","2017",15627.004512605
"198",462,50,7.798304875,-76.78867794,6.21,5625.5,"48","2017",7600.32708403361
"199",463,50,7.798824795,-76.787823305,6.58,1221.5,"48","2017",7622.90252521008
"200",464,50,7.79934173,-76.78697336,6.6,6417,"48","2017",7315.57142735043
"201",465,50,7.799884745,-76.785831095,10.74,3287.5,"48","2017",10344.5585504202
"202",467,50,7.792981575,-76.78429799,7.59,2153,"48","2017",8771.74978205128
"203",468,50,7.793612045,-76.78351479,7.19,1221.5,"48","2017",8077.24101282051
"204",469,50,7.79424594,-76.782726895,7.11,5265.5,"48","2017",7004.92455729167
"205",470,50,7.79478373,-76.781989105,8.35,2066,"48","2017",7920.12709677419
"206",471,50,7.797651145,-76.792060755,6.07,2532,"48","2017",8774.5962139738
"207",472,50,7.79736342,-76.79307363,6.94,827.5,"48","2017",10521.3415127119
"208",474,50,7.79658875,-76.794968555,7.62,4988.5,"48","2017",11541.6686680672
"209",475,50,7.79632142,-76.795918405,7.82,2918.5,"48","2017",12664.5892151899
"210",477,50,7.79680007,-76.79798487,5.65,8718.5,"48","2017",9372.28713135593
"211",458,50,7.80449274,-76.791016005,6.7,9512,"49","2017",7455.53735497836
"212",466,50,7.792365785,-76.785120505,8.36,8247.5,"49","2017",9572.50349576271
"213",473,50,7.79695412,-76.794022875,7.42,8912,"49","2017",9745.47978481013
"214",476,50,7.79657918,-76.79695369,6.7,21004.5,"49","2017",11115.6487299578
"215",531,50,7.7959,-76.7877,9.86,5145.5,"52","2017",10438.06
"216",532,50,7.7959,-76.7877,8.69,8974.5,"52","2017",10294.5351428571
"217",533,50,7.7959,-76.7877,8.22,8718.5,"52","2017",8934.03542857143
"218",534,50,7.7959,-76.7877,8.49,8576.5,"52","2017",8970.0386
"219",480,51,7.95918271,-76.62966787,3.25,3605.524,"01","2018",4307.95706167401
"220",481,51,7.960081995,-76.62940243,2.13,1573.1,"01","2018",2948.22985267857
"221",485,51,7.9628799,-76.627682575,2.97,1174.444,"01","2018",4423.61956140351
"222",487,51,7.96422335,-76.62421807,3.93,4125.08,"01","2018",5580.42242731278
