lote_id,finca_id,lat,lng,area,pbc,sem,c_year,pbc_ha,sum_pbc_ha,mean_pbc_a,id,id_altitud_ele,id_altitud_desc
2041,135,7.829292314,-76.65596507,3.16,457.16,23,2020,144.670886075949,20995.0537974684,24017.9272151899,1406,30.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1406</td></tr></table>"
2044,135,7.828727715,-76.65298931,3.88,946.97,23,2020,244.064432989691,27769.9768041237,29253.4029209622,1407,30.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1407</td></tr></table>"
2045,135,7.826981291,-76.66058846,3.1,502.14,23,2020,161.98064516129,21229.6064516129,26772.9387096774,1408,25.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1408</td></tr></table>"
2315,144,7.934094545,-76.68574512,5.022,1531.16,23,2020,304.890481879729,39392.3197929112,44048.8092393469,1409,9.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1409</td></tr></table>"
2316,144,7.932873543,-76.68536347,5.642,470.14,23,2020,83.328606876994,27332.2545196739,38729.3572019378,1410,10.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1410</td></tr></table>"
2317,144,7.931855448,-76.68522857,4.906,1847.49,23,2020,376.577660008153,32296.4655523848,38122.0437559451,1411,11.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1411</td></tr></table>"
2318,144,7.931013127,-76.68519106,4.625,176.61,23,2020,38.1859459459459,29857.2432432432,37183.3845045045,1412,11.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1412</td></tr></table>"
2654,161,7.912352182,-76.64364975,5.301,6434.67,23,2020,1213.85964912281,40222.0713073005,45345.1751241904,1413,20.7,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1413</td></tr></table>"
2657,161,7.912932253,-76.63928578,3.559,3748.94,23,2020,1053.36892385502,41004.8215790952,46832.5391027442,1414,21,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1414</td></tr></table>"
2819,168,7.822650408,-76.728024,3.27,157.2,23,2020,48.0733944954128,23719.9051987768,28552.9694189602,1415,12.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1415</td></tr></table>"
2820,168,7.823191012,-76.72865213,3.5,127.67,23,2020,36.4771428571429,8003.84857142857,29496.4266666667,1416,12,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1416</td></tr></table>"
2821,168,7.823604528,-76.72952739,3.51,998.29,23,2020,284.413105413105,18609.3475783476,27105.9192782526,1417,11.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1417</td></tr></table>"
2822,168,7.824061268,-76.73028794,3.31,434.13,23,2020,131.157099697885,20708.2839879154,29562.3252769386,1418,11.2,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1418</td></tr></table>"
2823,168,7.824453683,-76.73083803,2,219.22,23,2020,109.61,20244.505,25377.1366666667,1419,12,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1419</td></tr></table>"
2824,168,7.824626766,-76.73165497,2.9,1370.55,23,2020,472.603448275862,23568.1068965517,29093.7356321839,1420,9.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1420</td></tr></table>"
2826,168,7.825276957,-76.73326602,3.9,1764.7,23,2020,452.48717948718,27329.7384615385,34424.2982905983,1421,8.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1421</td></tr></table>"
2827,168,7.82557212,-76.73411722,4.61,1942.71,23,2020,421.412147505423,26655.1887201735,34266.5234996385,1422,9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1422</td></tr></table>"
